line,class
"Discharge Rate: 3000 MTS PWWD SHINC","Ld rate"
"Laycan 10-15th May 2017","Laycan date"
"June 10 onw","Laycan date"
"June 10 onw","Laycan date"
"Laycan is 20 to 30th May '17","Laycan date"
"Laycan:                 01 - 30TH JUNE 2017","Laycan date"
"Load rate :           15,000mt PWWD SATSHEXEIU","Ld rate"
"Quantity:                     40,000 MT +/- 10%  Moloo",Quantity
"Discharge Port:            Tuticorin, India at berth",Ports
"Loading Rate:              8,000 MT PWWD SHINC","Ld rate"
"Discharge Rate:           10,000 MT PWWD SHINC","Ld rate"
"Laycan:                        May 15 - 25","Laycan date"
"Quantity:                     50,000 MT +/- 10%  Moloo",Quantity
"Discharge Port:            Visakhapatnam, India at berth",Ports
"Loading Rate:              8,000 MT PWWD SHINC","Ld rate"
"Discharge Rate:           10,000 MT PWWD SHINC","Ld rate"
"Laycan:                        June 20 - 30","Laycan date"
"LAYCAN 10 DAYS IN JUNE 17","Laycan date"
"- MAY 13 ON","Laycan date"
"- 3000 SHINC/3000 SHINC","Ld rate"
"- MAY 7 ON","Laycan date"
"- 5000 SHINC/7000 SHINC","Ld rate"
"- MAY 20 ON","Laycan date"
"Loading Port - 1 SB in CHOPT out of:",Ports
"Chiba - 8,000 mt PWWD SHINC","Ld rate"
"Laycan - 16/22 May 2017 to be narrow down to 5 days spread","Laycan date"
"Commission - 3.50% total",Commision
"Laycan - 18/22 May","Laycan date"
"Discharging Port - 1-2SA Chittagong, Bangladesh",Ports
"Discharging Rate - 3,000 MT PWWD FHINC","Ld rate"
"Commission - 3.5% in total",Commision
15/24may,"Laycan date"
"10/20th may","Laycan date"
Laycan,"Laycan date"
"Loading Port",Ports
"Discharge Port",Ports
"Quantity:                     40,000 MT +/- 10%  Moloo",Quantity
"Discharge Port:            Tuticorin, India at berth",Ports
"Loading Rate:              8,000 MT PWWD SHINC","Ld rate"
"Discharge Rate:           10,000 MT PWWD SHINC","Ld rate"
"Laycan:                        May 15 - 25","Laycan date"
"Quantity:                     50,000 MT +/- 10%  Moloo",Quantity
"Discharge Port:            Visakhapatnam, India at berth",Ports
"Loading Rate:              8,000 MT PWWD SHINC","Ld rate"
"Discharge Rate:           10,000 MT PWWD SHINC","Ld rate"
"Laycan:                        June 20 - 30","Laycan date"
"L/D:  4,200 MT WWD SHEX UU / 7500 MT / 24 hours WWDSHINC OR  3500 MT / 24 hours WWDSHINC","Laycan date"
"2.5% TTL COMM HERE",Commision
"Laycan 16-18 May","Laycan date"
"3.75% IAC",Commision
"3.75% IAC",Commision
"2.5% TTL COMM HERE",Commision
"20 MAY ONWARDS","Laycan date"
"02-May-17 2:31 PM","Laycan date"
"loading rate: 10,000 mt","Ld rate"
"discharge rate: 10,000 mt","Ld rate"
"laycan 20-25th may 2017","Laycan date"
"comm 2.5% pus",Commision
"02-May-17 4:06 PM","Laycan date"
"laycan - 23rd may to 27th may , 2017 ( charteres need the vessel to be","Laycan date"
"load rate - 12,000 mt shexeiu ","Ld rate"
"11/18 May","Laycan date"
"10/15 May","Laycan date"
"7/16 May ","Laycan date"
"LAYCAN 10 DAYS IN JUNE 17","Laycan date"
"LAYCAN 10 DAYS IN JUNE 17","Laycan date"
"2nd May 2017","Laycan date"
15/MAY,"Laycan date"
"L/D:  4,200 MT WWD SHEX UU / 7500 MT / 24 hours WWDSHINC OR  3500 MT / 24","Laycan date"
"hours WWDSHINC","Ld rate"
"2.5% TTL COMM HERE",Commision
"L/D 2500/2500","Laycan date"
"3.75% iac",Commision
"DISRATE: 3,000 SHINC","Ld rate"
"LC may 6-15","Laycan date"
"2.5% ttl comm here",Commision
"LC 03 / 07 MAY","Laycan date"
"3.75% IAC",Commision
"LC 09 - 10 May 2017","Laycan date"
"2.5% ttl comm here",Commision
Laycan:,"Laycan date"
"18-25 May 2017","Laycan date"
"10/14 May","Laycan date"
"3.75% iac",Commision
"1/4 june","Laycan date"
"l/d Oxl 7000 (sat 16 sx uu) , Paldiski 5500 sc / 7000 sc","Laycan date"
"00/CQD =96 5.0% IAC",Commision
"LC 28 MAY / 05 JUNE","Laycan date"
"GCN 5.0% IAC",Commision
"- laycan May 14-16","Laycan date"
"Laycan 16-18 May","Laycan date"
"00 EIU - 3.75% IAC",Commision
"LC may 6-15","Laycan date"
"Max. 28 M.Tons.",Quantity
"2.5% ttl comm here",Commision
"3.75% IAC",Commision
"3.75% IAC",Commision
"10/14 May","Laycan date"
"3.75% iac",Commision
"L/D 2500/2500","Laycan date"
"3.75% iac",Commision
"09 - 10 May 2017","Laycan date"
"2.5% ttl comm here",Commision
"2.5% TTL COMM HERE",Commision
"LC 03 / 07 MAY","Laycan date"
"3.75% IAC",Commision
"Laycan 12-16 May","Laycan date"
"- laycan May 14-16","Laycan date"
"Laycan 16-18 May","Laycan date"
"3.75% iac",Commision
"2500/CQD - 5.0% IAC",Commision
"2.5% TTL COMM HERE",Commision
"LC 28 MAY / 05 JUNE","Laycan date"
"GCN 5.0% IAC",Commision
"3.75% iac",Commision
"Cargo: Steel Slabs",Description
"Load rate: 8.000 shinc","Ld rate"
"July onwards dates:","Laycan date"
30.000tons,Quantity
40.000tons,Quantity
50.000tons,Quantity
"Discharge Rate","Ld rate"
8.000shinc,"Ld rate"
8.000shinc,"Ld rate"
8.000shinc,"Ld rate"
Quantity:,Quantity
Laycan:,"Laycan date"
"Laycan from = 3/06/17 to 10/06/17","Laycan date"
"Loading Port and conditions",Ports
"Discharge Port and Condition",Ports
"Discharge Rate","Ld rate"
23-28/may/2017,"Laycan date"
20-25/may/2017,"Laycan date"
20-25/may/2017,"Laycan date"
20-25/may/2017,"Laycan date"
15-20/may/2017,"Laycan date"
20-25/may/2017,"Laycan date"
20-25/may/2017,"Laycan date"
14K-18Kshinc/6000shinc,"Ld rate"
"19-24 MAY","Laycan date"
"Discharge Rate","Ld rate"
23-28/may/2017,"Laycan date"
20-25/may/2017,"Laycan date"
20-25/may/2017,"Laycan date"
"21-25 MAY","Laycan date"
17/23may,"Laycan date"
"Laycan 12-16 May","Laycan date"
"- laycan May 14-16","Laycan date"
17/23may,"Laycan date"
"1/4 june","Laycan date"
"l/d Oxl 7000 (sat 16 sx uu) , Paldiski 5500 sc / 7000 sc","Laycan date"
"20 MAY ONWARDS","Laycan date"
"4000 sshex / cqd","Ld rate"
"spot/10th May","Laycan date"
"10-15 May 2017","Laycan date"
"7000/12000 SHINC BENDS","Ld rate"
"2.5% TTL COMM HERE",Commision
"LC 20/25 MAY 2017","Laycan date"
"LD 5000/4000 SHINC BENDS","Ld rate"
"LYCN 25-30 MAY 2017","Laycan date"
"L/D RATE:  1200CBM SHEX UU / 3000CBM SHINC TUTI AND 1300CBM SHINC MANGALORE","Ld rate"
15-20th/may,"Laycan date"
"Laycan end May","Laycan date"
"GCN 5.0% IAC",Commision
"LC 20/25 MAY 2017","Laycan date"
"LD 5000/4000 SHINC BENDS","Ld rate"
"10-15 May 2017","Laycan date"
"7000/12000 SHINC BENDS","Ld rate"
"2.5% TTL COMM HERE",Commision
"l/d 1800 sshex eiu/ 2000 fhex eiu","Laycan date"
"3.75% iac",Commision
"25th May-10th June","Laycan date"
"13/18  MAY","Laycan date"
"05th may onw","Laycan date"
"2.5% ttl comm here",Commision
"Quantity : About 11,000 mt, Or 15,000 Mts, in Choptn",Quantity
"Loading rate : 3000 mt, PWWD SAT SHEX EIU","Ld rate"
"Discharge port : Abu Dhabi",Ports
"Discharge Rate : 4500 Mts PWWD THU NOON FHEX EIU, subject to two cranes of","Ld rate"
"13/18  MAY","Laycan date"
"l/d 2500mt","Laycan date"
"3.75% iac",Commision
"5-8 may","Laycan date"
"3.75% iac",Commision
"l/d: 1000x/1000x                                                           =","Laycan date"
"5.0% iac",Commision
"08-09 MAY","Laycan date"
"2.5% TTL COMM HERE",Commision
"05th may onw","Laycan date"
"2.5% ttl comm here",Commision
"5-8 may","Laycan date"
"3.75% iac",Commision
"LAYCAN: 20-30 / MAY","Laycan date"
"LOAD RATE 8.000 MT PWWD SATPMSHEX EIU.","Ld rate"
"DISCH RATE 5.000 MT PWWD SHINC","Ld rate"
"2.5% ttl comm here",Commision
"23-25 MAY","Laycan date"
"l/d 2500mt","Laycan date"
"3.75% iac",Commision
"l/d 1800 sshex eiu/ 2000 fhex eiu","Laycan date"
"3.75% iac",Commision
"LAYCAN: 20 - 30 MAY 17","Laycan date"
"Laycan is 20 to 30th May '17","Laycan date"
21-25MAY,"Laycan date"
"LYCN 25-30 MAY 2017","Laycan date"
"L/D RATE:  1200CBM SHEX UU / 3000CBM SHINC TUTI AND 1300CBM SHINC MANGALORE","Ld rate"
"Laycan: 12th ÷18th May, 2017.","Laycan date"
"Laycan: 11th - 16th May, 2017","Laycan date"
"Laycan : 8 - 12 June Bell Bay ","Laycan date"
"7,000 MTS PWWD SHINC ","Ld rate"
"Discharge Port:",Ports
"20/25 MAY ","Laycan date"
"Laycan 29-31 May 2017","Laycan date"
"Load Rate 12'000 MT SHINC","Ld rate"
"Discharge Port Jing tang port, China",Ports
"Laycan 29-31 May 2017 (Slot date 30 May 2017)","Laycan date"
"beg june","Laycan date"
"L/D RATES 1000/700 ","Ld rate"
"11/16 May","Laycan date"
"19/30  May","Laycan date"
"19/25 May","Laycan date"
"LYCN 25-30 MAY 2017","Laycan date"
"L/D RATE:  1200CBM SHEX UU / 3000CBM SHINC TUTI AND 1300CBM SHINC MANGALORE","Ld rate"
"LC 05/11 June 2017","Laycan date"
"L/D 14000 MT & 18000 MT / 24 hours WWDSSHINC / 3500 MT & 7500 MT / 24 hours WWDSHINC","Laycan date"
"Comm :  2.5% ttl comm here",Commision
"LAYCAN FIRST SHIPMENT 15-20 MAY ","Laycan date"
"LAYCAN SECOND SHIPMENT 16-21 JUNE","Laycan date"
"10,000MTS SSHINC DISCH ","Ld rate"
"Laycan: 12th Þ18th May, 2017.","Laycan date"
"Laycan: 11th - 16th May, 2017","Laycan date"
"LC 05/11 June 2017","Laycan date"
"L/D 14000 MT OR 18000 MT / 24 hours WWDSSHINC / 3500 MT OR 7500 MT / 24","Laycan date"
"hours WWDSHINC","Ld rate"
"Comm :  2.5% ttl comm here",Commision
"14/23 MAY","Laycan date"
"20/25 MAY","Laycan date"
"5 / 27 MAY","Laycan date"
"4,000 SHEX / 15,000 SHINC","Ld rate"
"19-22 MAY, 2017","Laycan date"
"LD 3,500 sshex / 1500 shex","Ld rate"
"5.0% iac",Commision
"3.75% iac",Commision
"15 MAY ONW ","Laycan date"
"20/25  may","Laycan date"
"18/25 May","Laycan date"
"3.75% iac",Commision
"2.5% TTL COMM HERE",Commision
"2.5% TTL COMM HERE",Commision
"- MAY 7 ON","Laycan date"
"- 5000 SHINC/7000 SHINC","Ld rate"
"- MAY 17 ON","Laycan date"
"- 7000 SHINC/7000 SHINC","Ld rate"
"Loading Port: Arica 4000 SHINC",Ports
"Discharge Ports:",Ports
"Laycan: JUNE 12-23","Laycan date"
08May/onw,"Laycan date"
"3.75% iac",Commision
"08 May/onw","Laycan date"
"3.75% iac",Commision
"Loading Port:                  Veracruz (Mexico)",Ports
"Discharge Ports:             Houston (USA)",Ports
"Loading Port:                  Veracruz (Mexico)",Ports
"Discharge Ports:             Houston (USA)",Ports
"LAYCAN: 1/15 jun 2017","Laycan date"
"LOAD RATE 7.000 MT PWWD SATPMSHEX EIU","Ld rate"
"DISCH RATE 5.000 MT PWWD SHINC","Ld rate"
14K-18Kshinc/6000shinc,"Ld rate"
"19-24 MAY","Laycan date"
"LCAN 10-20 MAY 2017","Laycan date"
"2.5% TTL COMM HERE",Commision
"gcn 3.75% iac",Commision
"LCAN 10-20 MAY 2017","Laycan date"
"2.5% TTL COMM HERE",Commision
"L/D FIOS 2000/1250 PWWD","Ld rate"
"L/C 08-15 MAY","Laycan date"
"GCN 3.75% IAC",Commision
"- 19 / 21 May ","Laycan date"
"- 20/25 May 2017","Laycan date"
"15 MAY ONW ","Laycan date"
"L/D FIOS 2000/1250 PWWD","Ld rate"
"L/C 08-15 MAY","Laycan date"
"GCN 3.75% IAC",Commision
"LCAN 10-20 MAY 2017","Laycan date"
"2.5% TTL COMM HERE",Commision
"18 MAY ONW ","Laycan date"
"L/C 8/12 MAY","Laycan date"
"5000/2500 SHINC","Ld rate"
"gcn 3.75% iac",Commision
"Quantity: 25,000 MTS Min/Max (IDEALLY)",Quantity
"Discharge Port: Haldia",Ports
"Load rate: 7000 MTS PWWD SHINC","Ld rate"
"Discharge Rate: 3000 MTS PWWD SHINC","Ld rate"
"Laycan May 10th onwards (later dates ok/flexible) Grabs Required.","Laycan date"
"PREFER VERY END MAY","Laycan date"
"19/25 May","Laycan date"
"LC 01/10 June","Laycan date"
"18/23 May","Laycan date"
"3.75% IAC=A0",Commision
"LOAD RATE : 4500 MT","Ld rate"
"LAYCAN : 6/10 MAY (TRY VSL'S DATES)","Laycan date"
"- MAY 17 ON","Laycan date"
"- 7000 SHINC/7000 SHINC","Ld rate"
Quantity:,Quantity
Laycan:,"Laycan date"
"Laycan from = 8/15 Jun, 2017","Laycan date"
"Loading Port and conditions",Ports
"Discharge Port and Condition",Ports
"Laycan is 20 to 30th May '17","Laycan date"
"Laycan: 30th  May - 7th June 2017","Laycan date"
"Discharge port: Haikou - China (caution dwt restriction max cgo on board 23k and max vsl dwt 35k)",Ports
"COMM 1.25",Commision
"15-20 MAY ","Laycan date"
"COMM 1.25 PUS",Commision
"- 20/25 May 2017","Laycan date"
"Laycan: 30 May / 7th June 2017","Laycan date"
"Discharge port: Xiamen, China",Ports
"LAYCAN SPOT PPT ONW                     =20","Laycan date"
"Laycan:                               16 - 30 June 2017","Laycan date"
"May dates","Laycan date"
"Discharge port : Chittagong, Bangladesh",Ports
"Load rate : 8,000 mt fhex uu ","Ld rate"
"Discharge rate : 2,500 mt fhex uu","Ld rate"
"Laycan : 15-25th May","Laycan date"
"13 MAY ONW ","Laycan date"
"VERY END MAY","Laycan date"
"l/d rate 3000 thu5pmsun8am frisathex eiu/4000 fri5pmmon8am sshex eiu","Ld rate"
"10/15th may 17","Laycan date"
"comm : 2.5pct add pus",Commision
"L/D RATE : 5000MTS PWWD FHINC / CQD","Ld rate"
"-comm:2.5% add pus",Commision
"-comm: ttl 2.5% add pus",Commision
SPOT-14MAY,"Laycan date"
"LAYCAN SPOT PPT ONW                     ","Laycan date"
"15 MAY ONW ","Laycan date"
"13 MAY ONW ","Laycan date"
"13 MAY ONW ","Laycan date"
"Laycan is 20 to 30th May '17","Laycan date"
"l/c 15/16 May","Laycan date"
"LYCN 25-30 MAY 2017","Laycan date"
"L/D RATE:  1200CBM SHEX UU / 3000CBM SHINC TUTI AND 1300CBM SHINC MANGALORE","Ld rate"
"Laycan 21 - 24 May","Laycan date"
"18/25 May","Laycan date"
"16/20 MAY","Laycan date"
"18/28 MAY","Laycan date"
"25,000 SHINC / 13,000 SHINC","Ld rate"
"14/23 MAY","Laycan date"
"20/25 MAY","Laycan date"
"4,000 SHEX / 15,000 SHINC","Ld rate"
"Laycan at first load port Herøya May 18/22","Laycan date"
"2.5% ttl comm here",Commision
"1500 sshinc/1000 sshex","Ld rate"
"L/C 20-22 May","Laycan date"
"2.5% ttl comm here",Commision
"L/D TTL DAYS","Laycan date"
"3.75% IAC",Commision
"2.5 WWD SSHEX / 2000 MT FHEX","Ld rate"
"10/17 MAY","Laycan date"
"16/22 May","Laycan date"
"18/23 May","Laycan date"
"18/25 May","Laycan date"
"Discharge Ports:              Cartagena (Colombia)",Ports
"Discharge Rate","Ld rate"
10-20/may/2017,"Laycan date"
20-25/may/2017,"Laycan date"
"10,000 MT PWWD SHINC","Ld rate"
"10,000 MT PWWD SHINC","Ld rate"
"16/22 May","Laycan date"
"18/23 May","Laycan date"
"18/25 May","Laycan date"
"19/25 May","Laycan date"
"25/30 May","Laycan date"
"19/25 May","Laycan date"
"25/30 May","Laycan date"
"17 â€“ 20 MAY ","Laycan date"
"25 â€“ 30 MAY ","Laycan date"
"-COMM: 1.25% PUS",Commision
"May dates","Laycan date"
"- MAY 17 ON","Laycan date"
"- 7000 SHINC/7000 SHINC","Ld rate"
"L/D TTL DAYS","Laycan date"
"3.75% IAC",Commision
"2.5% ttl comm here",Commision
"1500 sshinc/1000 sshex","Ld rate"
"L/C 20-22 May","Laycan date"
"2.5% ttl comm here",Commision
"2.5 WWD SSHEX / 2000 MT FHEX","Ld rate"
"10/17 MAY","Laycan date"
"Laycan: 19 to 25 June 2017","Laycan date"
"May 25/28Â ","Laycan date"
"13 MAY ONW ","Laycan date"
"5-10th June","Laycan date"
"3.75% iac",Commision
"3.75% iac",Commision
"Quantity: 25,000 MTS Min/Max (IDEALLY)",Quantity
"Discharge Port: Haldia",Ports
"Load rate: 7000 MTS PWWD SHINC","Ld rate"
"Discharge Rate: 3000 MTS PWWD SHINC","Ld rate"
"Laycan May 20/25 May","Laycan date"
"Laycan at first load port Herøya May 18/22","Laycan date"
"15 MAY ONW ","Laycan date"
"3.75% iac",Commision
"Quantity : 200,000 Tons    ",Quantity
"Commission 2.5      % addcom pus",Commision
"9-23 May","Laycan date"
"Load 6k shinc 12htt","Ld rate"
"Discharge 4k shinc 12htt","Ld rate"
"NOR ATDNSHINC BENDS","Ld rate"
09-May-17,"Laycan date"
"l/d port: 1sbp gizan, saudi arabia / 1sbp main poart, n.china (int rizhao)",Ports
"laycan: 15-25th may","Laycan date"
"l/d rate: 6,000mt pwwd shinc/10,000mt pwwd shinc","Ld rate"
09-May-17,"Laycan date"
"2.5% TTL COMM HERE",Commision
"2.5% ttl comm here",Commision
09-May-17,"Laycan date"
"Laycan: May-28th-June 1st, 2017","Laycan date"
"14/25 MAY","Laycan date"
"8000/15,000 SHINC BENDS","Ld rate"
21/30may,"Laycan date"
SPOT/12MAY,"Laycan date"
"USG 7,000mt pwwd shinc","Ld rate"
"Itacoatiara3,000 Shinc","Ld rate"
"Santarem4,000 Shinc","Ld rate"
"Vila do Conde2,500 Shinc","Ld rate"
"Itaqui3,000 Shinc","Ld rate"
"Fortaleza2,500 Shinc","Ld rate"
"Aratu3,000 Shinc","Ld rate"
"Vitoria5,000 Shinc","Ld rate"
"Santos5,000 Shinc","Ld rate"
"Paranagua7,000 Shinc","Ld rate"
"Rio Grande5,000 Shinc","Ld rate"
09-May-17,"Laycan date"
"10/15th may 17","Laycan date"
"comm : 2.5pct pus",Commision
09-May-17,"Laycan date"
"Laycan: May-28th-June 1st, 2017","Laycan date"
"3.75% iac",Commision
"5-10th June","Laycan date"
"3.75% iac",Commision
"14/25 MAY","Laycan date"
"8000/15,000 SHINC BENDS","Ld rate"
"Laycan prompt","Laycan date"
"18-25 may","Laycan date"
"laycan 18/20 May","Laycan date"
"7 ttl days shinc","Ld rate"
"laycan 18/20 May ","Laycan date"
"7 ttl days shinc ","Ld rate"
"Cargo: Wheat",Description
"Quantity: 25000 MT in Bulk",Quantity
"Laycan: Prompt","Laycan date"
"2.5% ttl comm here",Commision
"Discharge Ports:  Setubal (Portugal), Alstom quay",Ports
"Discharge Ports:  Setubal (Portugal), Alstom quay",Ports
"17 - 25 May","Laycan date"
"3.75% IAC 2.5%",Commision
"2.5% ttl comm here",Commision
"laycan 18/20 May","Laycan date"
"7 ttl days shinc","Ld rate"
"17 - 25 May  ","Laycan date"
"3.75% IAC 2.5%",Commision
"Quantity : 200,000 Tons    of Aggregate",Quantity
"Commission 2.5    % addcom pus",Commision
-18-25TH/MAY,"Laycan date"
21/30may,"Laycan date"
"Cargo: Wheat",Description
"Laycan: Prompt","Laycan date"
"15-25TH MAY","Laycan date"
15/16â€ƒMay,"Laycan date"
L/D:,"Laycan date"
"2.5% TTL COMM HERE",Commision
"24/26 May","Laycan date"
"VERY END MAY","Laycan date"
"15 MAY ONW ","Laycan date"
"Laycan: 22nd May - 30th May","Laycan date"
"Discharge port: Chaozhou, China",Ports
"LAYCAN PPT ONWARDS","Laycan date"
JUNE,"Laycan date"
"10 May 2017","Laycan date"
"10 May 2017","Laycan date"
3500fhinc/9000shinc,"Ld rate"
"5-10th,jun","Laycan date"
"10 May 2017","Laycan date"
"Mid may - try dates","Laycan date"
"3500/5000 sshex eiu be","Ld rate"
"10000 sshinc / 5000 sshinc","Ld rate"
"Cargo: Wheat",Description
"Laycan: Prompt","Laycan date"
"20/30 May","Laycan date"
"18/25 May","Laycan date"
"18/25 May","Laycan date"
"25/30 May","Laycan date"
"Loading Port: Constanza, SOCEP terminal (Romania)",Ports
"Discharge Port: Houston, TX (USA)",Ports
"LAYCAN: 15/30 jun 2017","Laycan date"
"LOAD RATE 7.000 MT PWWD SATPMSHEX EIU","Ld rate"
"DISCH RATE 5.000 MT PWWD SHINC","Ld rate"
"BN 5.0% iac",Commision
"Quantity: 21.000mt 10% more or less",Quantity
"DISCHARGE PORT/S",Ports
"Rio Grande 4000mt wwday shinc","Ld rate"
"Laycan: 22nd May - 30th May","Laycan date"
"Discharge ports:",Ports
-18-25TH/MAY,"Laycan date"
21/30may,"Laycan date"
"11 May 2017","Laycan date"
"laycan : prompt","Laycan date"
"loading : 1spsb bandar imam khominin","Ld rate"
"l/r : 4000mt pwwd tfsshinc","Ld rate"
"d/r : 3000mt pwwd  tfsshince","Ld rate"
"comm : 3.75% pus",Commision
"Cargo: Wheat",Description
"Quantity: 25000-27500 MTs in Bulk",Quantity
"Laycan: 16-17 MAY","Laycan date"
"1 JUNE ONW ","Laycan date"
"21/23rd may","Laycan date"
"2500/2500 ","Ld rate"
"19 may ONW ","Laycan date"
"Loading:               Products Berth, Whyalla","Ld rate"
"24 MAY ONW ","Laycan date"
21/26may,"Laycan date"
21/26may,"Laycan date"
"LAYCAN PPT ONWARDS","Laycan date"
5/15june,"Laycan date"
"20/25 MAY","Laycan date"
"GNC 3.75% IAC",Commision
"19/22 MAY ","Laycan date"
"Laycan 20-22 May basis Muuga as first port","Laycan date"
"1000/1000 ","Ld rate"
"20 MAY ONW ","Laycan date"
"Loading Port: Constanza, SOCEP terminal (Romania)",Ports
"Discharge Port: Houston, TX (USA)",Ports
"- MAY 28 ON","Laycan date"
"- 8000 SHINC/5000 SHINC","Ld rate"
lycn:22nd-30th/May,"Laycan date"
"l/d rate:4000mt pwwd","Ld rate"
"LOADING PORT: NANJING,CHN",Ports
LYCN:22-30TH/MAY,"Laycan date"
"L/D RATE:3000/3000MT  PWWD","Ld rate"
"Laycan:                 1-20 June to be narrowed based on vsl","Laycan date"
"LAYCAN: 21/25 MAY 2017 (TRY TOUCH EARLIER)","Laycan date"
"1-10 June","Laycan date"
5/15june,"Laycan date"
21/30may,"Laycan date"
"Laycan:                                                 10-15 June 2017","Laycan date"
"12 May 2017","Laycan date"
"Laycan: May-28th-June 1st, 2017","Laycan date"
"21 - 22 MAY,","Laycan date"
"LOAD: 25,000MTPD SHINC +12HRS","Ld rate"
"12 May 2017","Laycan date"
"loading port : 1sbp ulsan, s.korea",Ports
"disch port : 1sbp panjang port in lampung, indonesia",Ports
"load rate : 6,000mt pwwd shex uu ","Ld rate"
"disch rate : 4,000mt pwwd shex uu","Ld rate"
"laycan : 1st-10th june 2017","Laycan date"
"12 May 2017","Laycan date"
3500fhinc/9000shinc,"Ld rate"
"5-10th,jun","Laycan date"
"12 May 2017","Laycan date"
"lcan 25-30 june","Laycan date"
"Cargo: Wheat",Description
"Quantity: 25000-27500 MTs in Bulk",Quantity
"Laycan: 16-17 MAY","Laycan date"
"24 MAY ONW ","Laycan date"
"2500/2500 ","Ld rate"
"19 may ONW ","Laycan date"
3500FHINC/9000SHINC,"Ld rate"
"5-10TH,JUN","Laycan date"
"25 may - 5 June","Laycan date"
"LAYCAN SPOT - CANCELLING 20TH MAY 2017","Laycan date"
5/15june,"Laycan date"
21/30may,"Laycan date"
"04/09 JUN 2017.","Laycan date"
"5-10 June","Laycan date"
"20-27 JUNE","Laycan date"
"16-19 MAY","Laycan date"
"3000 EIU/3500 SHINC","Ld rate"
"27 may onw","Laycan date"
"- MAY 17 ON","Laycan date"
"- 7000 SHINC/7000 SHINC","Ld rate"
"LAYCAN: 1/10 jun 2017","Laycan date"
"LOAD RATE 8.000 MT PWWD SATPMSHEX EIU","Ld rate"
"DISCH RATE 5.000 MT PWWD SHINCI am awaiting for firm offers.","Ld rate"
"May 25 - June 5","Laycan date"
"20-27 JUNE","Laycan date"
"16-19 MAY","Laycan date"
"3000 EIU/3500 SHINC","Ld rate"
"13 May 2017","Laycan date"
"l/d 5 days/5 days wp SSHINC bends","Laycan date"
"L/D Ports Adabiya / Cochin, India 1/1 Gsbp Aaaa Bends",Ports
"L/D Rates 7 Ttl Days Pwwd Fshex/Sshex Eiu Bends","Ld rate"
"LAYCAN: 1 ~ 15 JULY 2017- DISCHARGING PORT: TAIWANINESE PORT( INTEND","Laycan date"
"LAYCAN: 1 ~ 15 JULY 2017- DISCHARGING PORT: TAIWANINESE PORT( INTEND","Laycan date"
"LAYCAN  S P O T","Laycan date"
"Laycan:                                                 10-15 June 2017","Laycan date"
"- NOR Shinc bends","Ld rate"
5/15june,"Laycan date"
21/30may,"Laycan date"
"Cargo: Wheat",Description
"Quantity: 25000-27500 MTs in Bulk",Quantity
"Laycan: 16-17 MAY","Laycan date"
"Â·June 1-4th 2017","Laycan date"
"Â·Nador 4'000 MT/day SHINC ","Ld rate"
"1 JUNE / ONW","Laycan date"
"Quantity                       :           50-55,000MT in Bulk ( need geared vsl )",Quantity
"Laycan                         :           June 27th / 10th July 2017","Laycan date"
"Discharge rate             :           7,000 MT/day ","Ld rate"
"Commission                  :           5 % pcnt",Commision
"1 JUNE ONW ","Laycan date"
"Load Rate: 5,000mt PWWD SATSHEXEIU","Ld rate"
"Discharge Rate: 6,500mt pwwd SATSHEXEIU","Ld rate"
"- 23-26 May","Laycan date"
